Burst_Number,Start_Time_s,End_Time_s,Type
1,4.1492,10.4632,Parabolic
2,16.7984,21.0475,Parabolic
3,25.997500000000002,31.7546,Parabolic
4,32.2976,32.668600000000005,Parabolic
5,33.2434,33.6903,Parabolic
6,35.2539,37.263600000000004,Parabolic
7,41.4399,45.324200000000005,Parabolic
8,48.8635,53.693200000000004,Parabolic
9,54.383300000000006,55.0212,Parabolic
10,55.5536,56.1263,Parabolic
11,64.5246,68.1293,Parabolic
12,69.1089,69.2912,Parabolic
13,71.2927,76.1748,Parabolic
14,76.52000000000001,77.4671,Square Wave
15,79.0543,82.70750000000001,Parabolic
16,85.72,88.2249,Parabolic
17,88.57610000000001,89.0785,Parabolic
18,89.68480000000001,90.3493,Parabolic
19,91.63040000000001,94.0698,Parabolic
20,94.40140000000001,94.7859,Parabolic
21,96.095,98.40990000000001,Parabolic
22,100.11800000000001,101.3615,Parabolic
23,101.714,102.1427,Parabolic
24,102.5296,102.581,Parabolic
25,102.94030000000001,103.26060000000001,Parabolic
26,104.7433,107.47760000000001,Square Wave
27,114.7292,118.95700000000001,Parabolic
28,119.99480000000001,120.2184,Parabolic
29,120.5194,120.92200000000001,Parabolic
30,122.47710000000001,122.7256,Parabolic
31,123.0733,125.433,Parabolic
32,127.2321,128.8571,Parabolic
33,137.67680000000001,142.0592,Parabolic
34,145.0028,146.1111,Parabolic
35,160.23510000000002,165.3888,Parabolic
36,167.9316,171.4581,Parabolic
37,172.3262,173.2571,Parabolic
38,173.6052,173.7153,Parabolic
39,175.412,175.50400000000002,Parabolic
40,182.2433,185.9028,Parabolic
41,191.0791,193.4927,Square Wave
42,200.13330000000002,204.7615,Parabolic
43,205.6194,205.6737,Parabolic
44,207.60070000000002,212.0541,Square Wave
45,215.96290000000002,221.08710000000002,Parabolic
46,222.36690000000002,222.4598,Parabolic
47,225.26510000000002,226.0996,Parabolic
48,230.69070000000002,233.3177,Parabolic
49,242.64440000000002,246.58380000000002,Parabolic
50,253.23430000000002,256.25620000000004,Parabolic
51,260.125,260.41290000000004,Parabolic
52,262.4124,262.7025,Parabolic
