Burst_Number,Type,Node1_ID,Node2_ID
1,Parabolic,0,1
1,Parabolic,0,9
1,Parabolic,1,2
1,Parabolic,1,3
1,Parabolic,1,4
1,Parabolic,1,5
1,Parabolic,1,6
1,Parabolic,1,7
1,Parabolic,1,8
1,Parabolic,1,9
1,Parabolic,2,3
1,Parabolic,2,4
1,Parabolic,2,5
1,Parabolic,2,6
1,Parabolic,2,7
1,Parabolic,2,8
1,Parabolic,2,9
1,Parabolic,3,4
1,Parabolic,3,6
1,Parabolic,3,7
1,Parabolic,3,8
1,Parabolic,3,9
1,Parabolic,4,5
1,Parabolic,4,6
1,Parabolic,4,7
1,Parabolic,4,8
1,Parabolic,4,9
1,Parabolic,5,6
1,Parabolic,5,7
1,Parabolic,5,8
1,Parabolic,5,9
1,Parabolic,6,7
1,Parabolic,6,8
1,Parabolic,6,9
1,Parabolic,7,8
1,Parabolic,7,9
1,Parabolic,8,9
1,Parabolic,9,10
1,Parabolic,9,11
1,Parabolic,9,12
1,Parabolic,9,13
1,Parabolic,9,14
1,Parabolic,9,15
1,Parabolic,9,16
1,Parabolic,9,17
1,Parabolic,9,18
1,Parabolic,9,20
1,Parabolic,9,21
1,Parabolic,9,22
1,Parabolic,9,24
1,Parabolic,9,25
1,Parabolic,9,28
1,Parabolic,9,29
1,Parabolic,9,31
1,Parabolic,9,32
1,Parabolic,9,33
1,Parabolic,9,34
1,Parabolic,9,36
1,Parabolic,9,39
1,Parabolic,9,40
1,Parabolic,9,45
1,Parabolic,9,46
1,Parabolic,9,48
1,Parabolic,9,49
1,Parabolic,9,51
1,Parabolic,9,54
1,Parabolic,9,58
1,Parabolic,9,59
1,Parabolic,9,62
1,Parabolic,9,68
1,Parabolic,9,69
1,Parabolic,9,70
1,Parabolic,9,72
1,Parabolic,9,75
1,Parabolic,9,78
1,Parabolic,9,82
1,Parabolic,9,83
1,Parabolic,9,84
1,Parabolic,9,89
1,Parabolic,9,92
1,Parabolic,9,97
1,Parabolic,9,99
1,Parabolic,9,100
1,Parabolic,9,107
1,Parabolic,9,109
1,Parabolic,9,114
1,Parabolic,9,116
1,Parabolic,9,118
1,Parabolic,10,11
1,Parabolic,10,13
1,Parabolic,10,14
1,Parabolic,10,15
1,Parabolic,10,18
1,Parabolic,10,83
1,Parabolic,10,84
1,Parabolic,10,89
1,Parabolic,10,92
1,Parabolic,10,99
1,Parabolic,10,100
1,Parabolic,10,107
1,Parabolic,10,109
1,Parabolic,10,114
1,Parabolic,10,116
1,Parabolic,10,118
1,Parabolic,11,12
1,Parabolic,11,13
1,Parabolic,11,14
1,Parabolic,11,15
1,Parabolic,11,118
1,Parabolic,12,13
1,Parabolic,13,14
1,Parabolic,14,15
1,Parabolic,14,118
1,Parabolic,15,16
1,Parabolic,15,17
1,Parabolic,15,18
1,Parabolic,15,99
1,Parabolic,15,100
1,Parabolic,15,107
1,Parabolic,15,109
1,Parabolic,15,114
1,Parabolic,15,116
1,Parabolic,15,118
1,Parabolic,16,17
1,Parabolic,16,18
1,Parabolic,17,18
1,Parabolic,18,19
1,Parabolic,18,20
1,Parabolic,18,21
1,Parabolic,18,22
1,Parabolic,18,25
1,Parabolic,18,29
1,Parabolic,18,33
1,Parabolic,18,34
1,Parabolic,18,40
1,Parabolic,18,62
1,Parabolic,18,75
1,Parabolic,18,82
1,Parabolic,18,83
1,Parabolic,18,84
1,Parabolic,18,89
1,Parabolic,18,92
1,Parabolic,18,99
1,Parabolic,18,100
1,Parabolic,18,107
1,Parabolic,18,109
1,Parabolic,18,114
1,Parabolic,18,116
1,Parabolic,18,118
1,Parabolic,19,20
1,Parabolic,20,21
1,Parabolic,20,22
1,Parabolic,21,22
1,Parabolic,22,23
1,Parabolic,22,24
1,Parabolic,22,25
1,Parabolic,22,29
1,Parabolic,22,33
1,Parabolic,22,34
1,Parabolic,22,40
1,Parabolic,22,83
1,Parabolic,22,84
1,Parabolic,22,89
1,Parabolic,22,92
1,Parabolic,22,99
1,Parabolic,22,100
1,Parabolic,22,107
1,Parabolic,22,109
1,Parabolic,22,114
1,Parabolic,22,116
1,Parabolic,22,118
1,Parabolic,23,24
1,Parabolic,24,25
1,Parabolic,25,26
1,Parabolic,25,27
1,Parabolic,25,28
1,Parabolic,25,29
1,Parabolic,25,33
1,Parabolic,25,34
1,Parabolic,25,40
1,Parabolic,25,84
1,Parabolic,25,89
1,Parabolic,25,92
1,Parabolic,25,99
1,Parabolic,25,100
1,Parabolic,25,107
1,Parabolic,25,109
1,Parabolic,25,114
1,Parabolic,25,116
1,Parabolic,25,118
1,Parabolic,26,27
1,Parabolic,26,28
1,Parabolic,26,29
1,Parabolic,26,118
1,Parabolic,27,28
1,Parabolic,27,29
1,Parabolic,28,29
1,Parabolic,29,30
1,Parabolic,29,31
1,Parabolic,29,33
1,Parabolic,29,34
1,Parabolic,29,40
1,Parabolic,29,100
1,Parabolic,29,107
1,Parabolic,29,109
1,Parabolic,29,114
1,Parabolic,29,116
1,Parabolic,29,118
1,Parabolic,30,31
1,Parabolic,31,32
1,Parabolic,31,33
1,Parabolic,31,118
1,Parabolic,32,33
1,Parabolic,33,34
1,Parabolic,33,114
1,Parabolic,33,116
1,Parabolic,33,118
