Sweep,Start_Time_s,End_Time_s,Type
0,4.1492,10.4632,Parabolic
0,16.7984,21.0475,Parabolic
1,4.4975000000000005,10.2546,Parabolic
1,10.797600000000001,11.168600000000001,Parabolic
1,11.743400000000001,12.1903,Parabolic
1,13.7539,15.7636,Parabolic
1,19.9399,21.4873,Parabolic
2,0.015700000000000002,2.3242000000000003,Parabolic
2,5.8635,10.693200000000001,Parabolic
2,11.3833,12.0212,Parabolic
2,12.553600000000001,13.1263,Parabolic
3,0.0246,3.6293,Parabolic
3,4.6089,4.7912,Parabolic
3,6.7927,11.674800000000001,Parabolic
3,12.020000000000001,12.9671,Square Wave
3,14.554300000000001,18.2075,Parabolic
3,21.220000000000002,21.4968,Parabolic
4,0.0292,2.2249000000000003,Parabolic
4,2.5761000000000003,3.0785,Parabolic
4,3.6848,4.3493,Parabolic
4,5.6304,8.0698,Parabolic
4,8.4014,8.7859,Parabolic
4,10.095,12.4099,Parabolic
4,14.118,15.361500000000001,Parabolic
4,15.714,16.1427,Parabolic
4,16.529600000000002,16.581,Parabolic
4,16.9403,17.2606,Parabolic
4,18.7433,21.477600000000002,Parabolic
5,7.2292000000000005,11.457,Parabolic
5,12.494800000000001,12.7184,Parabolic
5,13.019400000000001,13.422,Parabolic
5,14.9771,15.2256,Parabolic
5,15.573300000000001,17.933,Parabolic
5,19.732100000000003,21.357100000000003,Parabolic
6,8.6768,13.0592,Parabolic
6,16.0028,17.1111,Parabolic
7,9.735100000000001,14.888800000000002,Parabolic
7,17.4316,20.9581,Parabolic
8,0.3262,1.2571,Parabolic
8,1.6052000000000002,1.7153,Parabolic
8,3.4120000000000004,3.504,Parabolic
8,10.2433,13.902800000000001,Parabolic
8,19.0791,21.492700000000003,Parabolic
9,6.6333,11.2615,Parabolic
9,12.1194,12.1737,Parabolic
9,14.1007,18.554100000000002,Parabolic
10,0.9629000000000001,6.0871,Parabolic
10,7.3669,7.4598,Parabolic
10,10.2651,11.0996,Parabolic
10,15.690700000000001,18.317700000000002,Parabolic
11,6.1444,10.0838,Parabolic
11,16.7343,19.7562,Parabolic
12,2.125,2.4129,Parabolic
12,4.4124,4.702500000000001,Parabolic
12,8.6346,8.8954,Parabolic
12,10.1544,10.6866,Parabolic
12,14.4426,14.870800000000001,Parabolic
12,15.837800000000001,16.0572,Parabolic
12,16.4398,16.7112,Parabolic
13,2.3731,2.577,Parabolic
14,8.583300000000001,8.7423,Parabolic
14,9.5572,9.795300000000001,Parabolic
14,15.418700000000001,17.1756,Parabolic
14,17.520400000000002,17.6537,Parabolic
14,20.0333,20.1932,Parabolic
15,0.1933,0.3075,Square Wave
15,0.6151,0.7435,Square Wave
15,1.0641,1.1451,Square Wave
15,1.4841,1.574,Square Wave
15,1.933,2.0102,Square Wave
15,2.4029000000000003,2.4909000000000003,Square Wave
15,2.8355,2.9253,Square Wave
15,3.2928,3.3667000000000002,Square Wave
15,3.7327000000000004,3.8239,Square Wave
15,4.2111,4.2861,Square Wave
15,4.7049,4.782900000000001,Square Wave
15,5.2292000000000005,5.3055,Square Wave
15,5.7514,5.8687000000000005,Square Wave
15,6.3045,6.3824000000000005,Square Wave
15,6.8834,6.9785,Square Wave
15,7.406300000000001,7.483300000000001,Square Wave
15,7.9934,8.091700000000001,Square Wave
15,8.578100000000001,8.6539,Square Wave
15,9.1442,9.2186,Square Wave
15,9.802200000000001,9.9435,Square Wave
15,10.441500000000001,10.5304,Square Wave
15,11.0587,11.143500000000001,Square Wave
15,11.740300000000001,11.823500000000001,Square Wave
15,12.3399,12.4436,Square Wave
15,13.019300000000001,13.1227,Square Wave
15,13.6677,13.7535,Square Wave
15,14.3786,14.4616,Square Wave
15,15.001600000000002,15.0897,Square Wave
15,15.6536,15.7438,Square Wave
15,16.3089,16.3993,Square Wave
15,16.9512,17.026,Square Wave
15,17.541,17.6247,Square Wave
15,18.2264,18.3355,Square Wave
15,18.928900000000002,18.9982,Square Wave
15,19.552500000000002,19.6322,Square Wave
15,20.256,20.3296,Square Wave
15,20.933400000000002,21.0243,Square Wave
16,0.0019,0.0376,Parabolic
16,0.659,0.7322000000000001,Square Wave
16,1.3626,1.4375,Square Wave
16,2.1019,2.2269,Square Wave
16,2.7709,2.8617000000000004,Square Wave
16,3.504,3.5788,Square Wave
16,4.1637,4.2437000000000005,Square Wave
16,4.9847,5.0982,Square Wave
16,5.622,5.7188,Square Wave
16,6.303,6.391900000000001,Square Wave
16,6.985,7.0627,Square Wave
16,7.6404000000000005,7.7266,Square Wave
16,8.424000000000001,8.4979,Square Wave
16,9.1524,9.230500000000001,Square Wave
16,9.8988,9.987300000000001,Square Wave
16,10.5892,10.682,Square Wave
16,11.4266,11.517900000000001,Square Wave
16,12.107800000000001,12.1922,Square Wave
16,12.9655,13.0943,Square Wave
16,13.6392,13.7276,Square Wave
16,14.307500000000001,14.3915,Square Wave
16,15.1249,15.205900000000002,Square Wave
16,15.8352,15.9158,Square Wave
16,16.6916,16.7937,Square Wave
16,17.4135,17.5044,Square Wave
16,17.9952,18.077,Square Wave
16,18.6007,18.6785,Square Wave
16,19.1687,19.2468,Square Wave
16,19.669,19.733600000000003,Square Wave
16,20.5246,20.626,Square Wave
16,21.308300000000003,21.4072,Square Wave
17,0.4776,0.5829,Square Wave
17,1.0564,1.149,Square Wave
17,1.6202,1.697,Square Wave
17,2.1511,2.2367,Square Wave
17,2.702,2.7741000000000002,Square Wave
17,3.2487000000000004,3.3122000000000003,Square Wave
17,3.8851,3.9739,Square Wave
17,4.5012,4.5937,Square Wave
17,5.2469,5.3331,Square Wave
17,6.1021,6.2114,Square Wave
17,6.8673,6.943700000000001,Square Wave
17,7.3539,7.4171000000000005,Square Wave
17,8.021,8.112,Square Wave
17,8.9875,9.1167,Square Wave
17,9.5404,9.632200000000001,Parabolic
17,10.1792,10.3049,Square Wave
17,10.9688,11.0923,Square Wave
17,11.7409,11.8551,Parabolic
17,12.6478,12.8133,Parabolic
17,13.394200000000001,13.5614,Parabolic
17,14.0195,14.16,Parabolic
17,14.487400000000001,14.702300000000001,Parabolic
17,15.0235,19.5958,Parabolic
17,19.9119,20.864800000000002,Parabolic
17,21.2485,21.469,Parabolic
18,0.2506,0.48400000000000004,Parabolic
18,1.5749,3.0016000000000003,Parabolic
18,3.31,4.9195,Parabolic
18,5.255,5.375900000000001,Parabolic
18,5.8764,8.8698,Parabolic
18,9.226700000000001,11.5921,Parabolic
18,11.996500000000001,12.184000000000001,Parabolic
18,12.5847,13.353100000000001,Parabolic
18,13.693900000000001,15.7506,Parabolic
18,16.1056,21.3631,Parabolic
