File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv,UMAP1,UMAP2
cell104basal.abf,0,Burst,Square Wave,0.485100000000001,21,0.023215,-45.21416,11.253597,-54.476,39.903,3.9016275,17.23568,-21.940893,-41.515114,23562.69,-175440.02,249871.02,1.4582908,27.038786,5.366174,1.1631292
cell104basal.abf,3,Non-burst,Non-burst,0.0369,0,0.0,-46.932163,6.1251817,-49.879,25.049,8.287863,82.75482,-1.7352843,2011.084,15700.379,-7509.9946,212335.0,9.466937,104.30243,7.165238,1.100579
cell104basal.abf,3,Burst,Square Wave,0.19790000000000002,2,0.121,-48.66206,7.717728,-55.196,28.927,6.478146,52.541927,-9.637561,-3.1581292,16193.118,-131346.3,203899.0,2.4749725,71.410995,6.5177436,1.1837909
cell104basal.abf,3,Burst,Square Wave,0.5168999999999997,18,0.028382352941176466,-45.168232,10.008901,-57.51,39.778,4.6708255,24.996618,-23.35513,-31.822367,22741.29,-171060.0,253933.0,1.1481105,30.451172,5.363015,1.1634415
cell104basal.abf,4,Burst,Square Wave,0.3454000000000006,15,0.020857142857142855,-44.299873,11.109192,-57.666,40.935,4.152946,19.492653,-15.30887,-47.984962,25595.104,-172305.98,301779.0,0.96457696,24.85715,5.3696947,1.1525273
cell104basal.abf,4,Burst,Square Wave,0.5078000000000031,18,0.026970588235294118,-45.27357,10.166938,-58.917,40.154,4.7719593,25.687923,-22.997723,-29.129578,23743.086,-174502.0,307718.03,1.2063353,32.01003,5.167662,1.0113488
cell104basal.abf,5,Burst,Other,0.49599999999999866,18,0.026805882352941176,-45.219494,10.141856,-57.729,41.217,4.8308697,26.160479,-22.431911,-43.575317,24078.668,-188886.98,247368.0,0.9906968,28.914864,5.2649446,1.1210775
cell104basal.abf,6,Burst,Square Wave,0.9392999999999999,26,0.035616,-46.400772,9.162523,-57.353,38.09,4.99718,29.954052,-43.5869,-24.607132,19957.852,-165427.0,224539.0,1.193139,37.41219,4.6851363,0.8414334
cell104basal.abf,7,Burst,Square Wave,1.1753999999999998,28,0.04174074074074074,-47.274067,8.73145,-56.259,37.589,5.1636996,32.950363,-55.569065,-10.722374,18475.268,-165739.0,263622.03,1.4430008,45.839405,4.577534,0.81563896
cell104basal.abf,7,Burst,Square Wave,1.3525999999999998,28,0.04487407407407407,-47.13135,8.038238,-56.634,37.183,5.9029336,41.483234,-63.757774,-7.65266,17371.955,-157610.0,251430.02,1.5658536,51.02689,4.5660872,0.8002844
cell104basal.abf,7,Burst,Square Wave,0.6871999999999989,23,0.02651818181818182,-45.16558,9.562037,-58.479,37.433,4.798556,26.189291,-31.04084,-20.026197,21319.725,-168555.0,268627.28,1.0746907,32.25214,4.9322944,0.90894306
cell104basal.abf,8,Burst,Square Wave,0.7101,22,0.030419047619047616,-45.102867,9.148232,-56.384,35.15,4.984247,28.430145,-32.034954,-17.263765,20395.994,-166680.0,259560.0,1.1421844,34.313515,4.9224167,0.90763956
cell104basal.abf,8,Burst,Square Wave,1.2001999999999997,30,0.03724827586206897,-46.53089,8.608946,-56.853,35.557,5.2453194,33.06382,-55.848988,-15.739506,18485.643,-158554.0,258310.02,1.3785009,43.556034,4.521544,0.7720467
cell104basal.abf,10,Burst,Other,1.0197000000000003,27,0.03496153846153846,-46.49265,8.741424,-56.196,37.026,5.5080123,34.85323,-47.416397,-9.936262,19742.15,-174190.98,243610.0,1.2793281,40.13892,4.611013,0.8113914
cell105basal.abf,3,Burst,Parabolic,0.3279999999999994,10,0.03512222222222222,-62.48971,14.074385,-71.895,45.001,3.6079054,19.10974,-20.499191,-118.07041,38145.95,-262376.0,580720.0,4.2980914,85.484886,3.7891078,7.4876175
cell107basal.abf,0,Burst,Other,0.3074999999999992,7,0.035050000000000005,-58.346573,14.078348,-74.366,46.846,3.917869,21.1834,-17.95168,-26.643923,27358.777,-163240.0,440312.0,6.605147,95.92238,3.7417579,7.4433713
cell107basal.abf,1,Burst,Parabolic,0.5858999999999996,3,0.10894999999999999,-61.766094,8.631057,-76.179,48.284,5.902042,61.87961,-36.199562,-6.8305173,16073.365,-149480.0,474710.03,14.6784315,434.26016,3.7058344,7.4198613
cell107basal.abf,1,Burst,Parabolic,0.9984999999999999,5,0.128425,-60.355972,8.329461,-76.899,47.69,4.950616,53.88807,-60.27008,-2.505008,15079.878,-154490.0,490976.03,14.665464,450.66992,3.6873715,7.4088273
