UMAP1,UMAP2,Burst_Type
9.006823,1.2298236,Non-burst
4.3462257,12.467431,Square Wave
4.355584,12.471953,Square Wave
9.847182,2.3646963,Non-burst
8.040735,3.6288784,Non-burst
7.672976,2.6546376,Non-burst
8.953281,1.1946608,Non-burst
4.434387,12.563071,Square Wave
4.622048,12.677634,Square Wave
4.63603,9.608522,Square Wave
9.842759,2.4990156,Non-burst
10.96671,2.913013,Non-burst
8.06812,3.9054222,Non-burst
7.5914273,7.6081586,Non-burst
4.706962,12.0568695,Square Wave
4.601353,12.466864,Square Wave
4.328394,12.4373865,Square Wave
4.7659335,9.686633,Square Wave
10.330775,2.7253344,Non-burst
10.021837,2.623897,Non-burst
11.289279,3.414307,Non-burst
8.022228,3.6618524,Non-burst
9.164018,1.2978107,Non-burst
4.5845904,9.523471,Square Wave
4.340196,12.466181,Square Wave
4.2394905,12.400392,Square Wave
4.229387,9.089705,Square Wave
4.4958158,12.641393,Square Wave
4.4902687,12.460781,Square Wave
3.6322803,9.138875,Square Wave
4.560243,9.422249,Square Wave
11.040789,3.4120097,Non-burst
10.893311,3.3695729,Non-burst
11.880346,4.437,Non-burst
10.110348,2.7639256,Non-burst
10.772499,3.2298586,Non-burst
12.167619,4.4274697,Non-burst
12.281643,4.295956,Non-burst
7.329415,6.342083,Non-burst
9.658239,2.1125948,Non-burst
4.5964627,12.465632,Other
7.9795246,3.588305,Non-burst
8.92103,0.40031233,Non-burst
4.8258677,9.705143,Square Wave
4.5630198,12.614267,Square Wave
4.270178,9.166157,Square Wave
4.7019,9.651725,Square Wave
3.9909334,9.09752,Square Wave
9.987167,2.9023194,Non-burst
11.372014,4.7209005,Non-burst
10.727439,3.5426457,Non-burst
11.346663,4.665133,Non-burst
7.9305487,4.2160997,Non-burst
8.886455,0.35127798,Non-burst
4.838885,9.754765,Square Wave
4.8498077,9.725142,Square Wave
4.561695,9.527918,Square Wave
4.397174,12.554556,Square Wave
4.3589964,12.583598,Square Wave
10.676402,3.7873232,Non-burst
10.687067,3.7291687,Non-burst
10.154731,3.1435065,Non-burst
10.24833,3.2379596,Non-burst
7.8938313,4.2885084,Non-burst
8.985672,0.6189758,Non-burst
4.6274834,12.60428,Square Wave
4.3484497,12.438189,Square Wave
4.54788,12.621219,Square Wave
4.413537,12.538211,Square Wave
3.5395014,9.190741,Square Wave
3.3799,9.204842,Square Wave
3.0788317,9.136446,Square Wave
4.575792,9.528016,Square Wave
4.5603905,9.519,Square Wave
4.1426473,9.209441,Square Wave
4.1154013,9.285492,Square Wave
10.694829,3.6921947,Non-burst
10.686167,3.3697486,Non-burst
10.849867,3.6032991,Non-burst
11.450349,4.4954185,Non-burst
11.464911,4.5468984,Non-burst
11.407505,4.6710105,Non-burst
11.5686455,4.574866,Non-burst
10.76672,3.7991817,Non-burst
10.640922,3.453982,Non-burst
11.647043,4.4742885,Non-burst
7.553015,5.497118,Non-burst
8.90558,0.39874008,Non-burst
4.5107193,12.643857,Square Wave
4.4286666,9.304613,Square Wave
4.4555836,9.287474,Square Wave
4.27174,12.396983,Square Wave
3.7554674,9.057006,Square Wave
3.892623,9.069506,Square Wave
4.706019,9.647204,Square Wave
10.790724,4.107951,Non-burst
10.786891,3.7744033,Non-burst
10.672402,3.6894143,Non-burst
11.005417,4.4620404,Non-burst
11.643648,4.6073933,Non-burst
10.115013,3.194818,Non-burst
7.5217404,5.5277886,Non-burst
9.575404,1.8957149,Non-burst
4.5253487,12.63319,Other
7.8398914,3.6784375,Non-burst
9.54853,1.885732,Non-burst
4.5287457,12.676594,Square Wave
4.6422873,12.787183,Square Wave
4.566347,12.443209,Square Wave
10.130983,3.2647457,Non-burst
10.702422,4.2302337,Non-burst
7.839561,4.5085745,Non-burst
7.6061735,2.7000687,Non-burst
8.986818,1.2033117,Non-burst
-0.82149553,3.7786589,Square Wave
-2.09007,3.9518116,Square Wave
-0.8813421,3.8339798,Square Wave
2.5699751,7.7219396,Square Wave
-2.9157643,3.6770685,Square Wave
-2.8664987,3.7359896,Square Wave
-2.8746378,3.7060797,Square Wave
-0.86722016,3.8355355,Square Wave
-2.8928852,3.7028685,Square Wave
-3.0823877,3.7067358,Square Wave
