File_Name,Sweep,Segment_Type,Burst_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,0,Non-burst,Non-burst,3.201,-69.08671,1.5485575,-70.738,40.247,22.097511,1188.3403,-221.15204,34.12496,3990.4019,-10630.036,381210.03,34.43206,2938.729
cell104basal.abf,0,Burst,Square Wave,0.4642999999999997,-44.246635,10.609624,-55.258,40.247,4.24694,20.044142,-20.546345,-59.890106,22785.904,-163554.53,236104.0,1.6097623,28.02798
cell104basal.abf,0,Burst,Square Wave,0.485100000000001,-45.21416,11.253597,-54.476,39.903,3.9016275,17.23568,-21.940893,-41.515114,23562.69,-175440.02,249871.02,1.4582908,27.038786
cell104basal.abf,0,Non-burst,Non-burst,11.1101,-68.98395,1.8963748,-70.832,36.651,12.206907,321.96436,-766.4214,1.480558,3429.9595,-103509.0,455949.03,22.56829,2961.7434
cell104basal.abf,0,Non-burst,Non-burst,6.2394,-68.620674,2.2275066,-70.488,19.764,9.689574,189.84218,-428.1562,-14.284385,3122.075,-110390.0,10950.013,-2.5434985,76.71271
cell104basal.abf,1,Non-burst,Non-burst,21.4999,-69.519295,0.66499096,-71.238,-64.327,1.8774806,8.239495,-1494.658,-0.027627563,2992.537,-10629.959,11879.959,0.06401132,-0.3600793
cell104basal.abf,2,Non-burst,Non-burst,2.5475,-69.814316,1.4349338,-71.363,34.775,23.77322,1296.9003,-177.85028,40.71995,4375.0884,-10000.0,455640.03,48.74545,4792.781
cell104basal.abf,2,Burst,Square Wave,0.2639,-42.913868,11.58632,-56.196,40.185,3.7744682,15.173887,-11.327646,-101.71342,27180.762,-192639.0,257680.0,0.8494273,20.056805
cell104basal.abf,2,Burst,Square Wave,1.423399999999999,-46.09965,9.231603,-57.135,41.905,5.116729,30.783783,-65.62115,-18.060835,20676.555,-188257.2,283642.0,1.5407413,40.038834
cell104basal.abf,2,Burst,Square Wave,0.38400000000000034,-44.11727,10.995909,-56.134,40.654,4.2314224,19.661379,-16.948643,-45.117188,25162.523,-171380.02,224538.0,0.9755638,22.662384
cell104basal.abf,2,Non-burst,Non-burst,11.896799999999999,-69.46412,1.5888816,-72.02,22.86,13.133478,438.87912,-826.4022,-1.2696363,3246.53,-122275.0,293645.0,6.456261,711.4913
cell104basal.abf,2,Non-burst,Non-burst,2.1386000000000003,-66.648254,3.8905864,-69.956,40.654,6.2379518,100.2635,-142.54395,7.1065183,4856.967,-123839.0,423120.0,31.549313,2864.8274
cell104basal.abf,2,Non-burst,Non-burst,2.845700000000001,-67.46162,2.8088632,-69.675,23.329,7.6544356,133.648,-191.97998,-32.495342,3331.666,-112581.0,10320.016,-5.827356,174.70935
cell104basal.abf,3,Non-burst,Non-burst,0.0369,-46.932163,6.1251817,-49.879,25.049,8.287863,82.75482,-1.7352843,2011.084,15700.379,-7509.9946,212335.0,9.466937,104.30243
cell104basal.abf,3,Burst,Square Wave,0.19790000000000002,-48.66206,7.717728,-55.196,28.927,6.478146,52.541927,-9.637561,-3.1581292,16193.118,-131346.3,203899.0,2.4749725,71.410995
cell104basal.abf,3,Burst,Square Wave,0.7073999999999998,-45.98988,10.092193,-57.479,40.623,4.5162888,24.347301,-32.5362,-31.126785,22498.965,-176690.02,301467.0,1.3198768,33.819424
