Sweep,Segment_Type,Start_Time_s,End_Time_s,Burst_Type
0,Burst,4.1492,10.4632,Parabolic
0,Burst,16.7984,21.0475,Parabolic
0,Non-burst,0.0,4.1492,-
0,Non-burst,10.4632,16.7984,-
0,Non-burst,21.0475,21.4999,-
1,Burst,4.4975,10.2546,Parabolic
1,Burst,10.7976,11.1686,Parabolic
1,Burst,11.7434,12.1903,Parabolic
1,Burst,13.7539,15.7636,Parabolic
1,Burst,19.9399,21.4873,Square Wave
1,Non-burst,0.0,4.4975,-
1,Non-burst,10.2546,10.7976,-
1,Non-burst,11.1686,11.7434,-
1,Non-burst,12.1903,13.7539,-
1,Non-burst,15.7636,19.9399,-
1,Non-burst,21.4873,21.4999,-
2,Burst,0.0157,2.3242,Parabolic
2,Burst,5.8635,10.6932,Parabolic
2,Burst,11.3833,12.0212,Parabolic
2,Burst,12.5536,13.1263,Parabolic
2,Non-burst,0.0,0.0157,-
2,Non-burst,2.3242,5.8635,-
2,Non-burst,10.6932,11.3833,-
2,Non-burst,12.0212,12.5536,-
2,Non-burst,13.1263,21.4999,-
3,Burst,0.0246,3.6293,Parabolic
3,Burst,4.6089,4.7912,Parabolic
3,Burst,6.7927,11.6748,Parabolic
3,Burst,12.02,12.9671,Square Wave
3,Burst,14.5543,18.2075,Parabolic
3,Burst,21.22,21.4968,Parabolic
3,Non-burst,0.0,0.0246,-
3,Non-burst,3.6293,4.6089,-
3,Non-burst,4.7912,6.7927,-
3,Non-burst,11.6748,12.02,-
3,Non-burst,12.9671,14.5543,-
3,Non-burst,18.2075,21.22,-
3,Non-burst,21.4968,21.4999,-
4,Burst,0.0292,2.2249,Parabolic
4,Burst,2.5761,3.0785,Parabolic
4,Burst,3.6848,4.3493,Parabolic
4,Burst,5.6304,8.0698,Parabolic
4,Burst,8.4014,8.7859,Parabolic
4,Burst,10.095,12.4099,Parabolic
4,Burst,14.118,15.3615,Parabolic
4,Burst,15.714,16.1427,Parabolic
4,Burst,16.5296,16.581,Parabolic
4,Burst,16.9403,17.2606,Parabolic
4,Burst,18.7433,21.4776,Square Wave
4,Non-burst,0.0,0.0292,-
4,Non-burst,2.2249,2.5761,-
4,Non-burst,3.0785,3.6848,-
4,Non-burst,4.3493,5.6304,-
4,Non-burst,8.0698,8.4014,-
4,Non-burst,8.7859,10.095,-
4,Non-burst,12.4099,14.118,-
4,Non-burst,15.3615,15.714,-
4,Non-burst,16.1427,16.5296,-
4,Non-burst,16.581,16.9403,-
4,Non-burst,17.2606,18.7433,-
4,Non-burst,21.4776,21.4999,-
5,Burst,7.2292,11.457,Parabolic
5,Burst,12.4948,12.7184,Parabolic
5,Burst,13.0194,13.422,Parabolic
5,Burst,14.9771,15.2256,Parabolic
5,Burst,15.5733,17.933,Parabolic
5,Burst,19.7321,21.3571,Parabolic
5,Non-burst,0.0,7.2292,-
5,Non-burst,11.457,12.4948,-
5,Non-burst,12.7184,13.0194,-
5,Non-burst,13.422,14.9771,-
5,Non-burst,15.2256,15.5733,-
5,Non-burst,17.933,19.7321,-
5,Non-burst,21.3571,21.4999,-
6,Burst,8.6768,13.0592,Parabolic
6,Burst,16.0028,17.1111,Parabolic
6,Non-burst,0.0,8.6768,-
6,Non-burst,13.0592,16.0028,-
6,Non-burst,17.1111,21.4999,-
7,Burst,9.7351,14.8888,Parabolic
7,Burst,17.4316,20.9581,Parabolic
7,Non-burst,0.0,9.7351,-
